Do it again!	Recommencez !
I'm sneaky.	Je suis sournois.
I can buy one.	Je peux en acquérir un.
Can you cancel?	Pouvez-vous annuler ?
Is Tom lying?	Tom ment-il ?
Tom was cute.	Tom était mignon.
School's out.	L'école est finie.
It's what I am.	C'est ce que je suis.
This is a joke.	C'est une blague.
I'm positive.	J'en suis certain.
I still care.	Je m'en soucie encore.
I lost my key.	Je perdis la clé.
I was a member.	J'étais membre.
Tell the truth.	Dis la vérité.
He's no saint.	Il n'est pas un saint.
He denied it.	Il l'a nié.
We're grateful.	Nous sommes reconnaissantes.
Look around.	Regarde autour de toi.
Nobody is here.	Personne n'est ici.
Trust Tom.	Faites confiance à Tom.
It's safer.	C'est plus sûr.
Pack your gear.	Emballe ton matériel !
Here he comes.	Le voilà.
I fear no one.	Je ne crains personne.
I am new here.	Je suis nouveau ici.
You're my hero.	Tu es mon héros.
It's very good.	C’est très bon.
I'm contagious.	Je suis contagieux.
Get the camera.	Va chercher l'appareil photo.
I'm in luck.	Je suis veinarde.
I'll check in.	Je vais vérifier.
Watch my back.	Surveille mes arrières !
I work nights.	Je travaille de nuit.
I canceled.	Je me suis décommandée.
What'll we do?	Que ferons-nous ?
Send Tom down.	Fais descendre Tom.
I had to go.	Je devais y aller.
What are those?	Que sont ceux-ci ?
It was hard.	C'était difficile.
You're old.	Vous êtes vieux.
I've got eyes.	Je suis doté d'yeux.
I'm horrible.	Je suis horrible.
We all change.	Nous changeons toutes.
This'll help.	Ça aidera.
You're nuts!	Vous êtes dingues !
You're good.	Tu es bonne.
Tom's fearless.	Tom a du cran.
It's spring.	C'est le printemps.
Watch closely.	Regarde de près !
Tom was shot.	Tom a été abattu.
He plays there.	Il joue là-bas.
I was thinking.	J'étais en train de réfléchir.
Can you sleep?	Tu arrives à dormir ?
Terrific!	Génial!
I'm surprised.	Je suis surpris.
I understand.	Je comprends.
Keep moving.	Continuez de bouger.
I felt awful.	Je me suis senti affreusement mal.
They're safe.	Ils sont en sécurité.
I predicted it.	Je l'avais prédit.
Tom'll lose.	Tom va perdre.
Tom was scary.	Tom était effrayant.
Tom is in luck.	Tom a de la chance.
I'd like to go.	Je voudrais y aller.
Tom liked you.	Tom vous appréciait.
Be merciful.	Soyez cléments !
Take a look.	Jetez un œil !
She gave money.	Elle a donné de l'argent.
Let's start.	Commençons.
We're sunk.	Nous sommes foutus.
I love rice.	J'aime le riz.
Go outside.	Sors.
Let Tom leave.	Laissez Tom partir.
Let Tom go.	Laissez Tom partir.
Hide.	Cachez-vous.
We're smart.	Nous sommes intelligentes.
We have food.	Nous avons de quoi manger.
It's too risky.	C'est trop risqué.
I will go.	J'irai.
Let's review.	Passons en revue.
Do you miss it?	Est-ce qu'elle te manque ?
I'll join you.	Je me joindrai à vous.
It doesn't fit.	Ça n'entre pas.
What do I have?	Qu'ai-je ?
Come in already.	Entrez, déjà !
Tom went nuts.	Tom a perdu les pédales.
Is it for here?	À consommer sur place ?
It has a flaw.	Ça comporte un défaut.
How's the dog?	Comment va le chien ?
Good luck.	Bonne chance !
Is that weird?	Est-ce bizarre ?
Who phoned?	Qui est-ce qui a téléphoné ?
You're pretty.	Tu es jolie.
Who else knows?	Qui d'autre est au courant ?
Bite the bullet.	Serre les dents.
I saw them.	Je les vis.
I've got time.	Je dispose de temps.
Pigs can't fly.	Les cochons ne volent pas.
Get out!	Fichez le camp !
I'm back.	Je suis revenu.
I want to go.	Je veux m'en aller.
Take it.	Prends-le !
We're sloshed.	Nous sommes bourrés.
Tom is nearby.	Tom n'est pas loin.
Be honest.	Sois honnête.
Is it a deal?	Est-ce une bonne affaire ?
Hello everyone!	Salut les gens !
I got nothing.	Je n'ai rien.
Can Tom dance?	Tom peut-il danser ?
Kill Tom.	Tue Tom.
Take it easy!	Ne t'en fais pas.
He's Swiss.	Il est Suisse.
I'm trying.	J'essaie.
Are you leaving?	Tu vas partir ?
Be fair.	Soyez équitable !
You're dirty.	Vous êtes sale.
This is his.	C'est le sien.
They were dead.	Ils étaient morts.
I slept late.	J'ai dormi tard.
We must speak.	Il nous faut parler.
I'm not naive.	Je ne suis pas naïve.
Go get changed.	Va te changer !
Let me see it.	Laissez-moi les voir.
We're shaken.	Nous sommes remués.
Is that a no?	Est-ce un non ?
That's ironic.	C'est ironique.
I'm lucky.	Je suis veinarde.
I love bananas.	J'adore les bananes.
I ought to go.	Je dois y aller.
You're excused.	Tu es excusée.
How lovely!	Comme c'est charmant !
This is a pipe.	Ceci est une pipe.
Are you ready?	Es-tu prête ?
Wax the floor.	Cirez le plancher.
Tom looked.	Tom regarda.
You should eat.	Tu devrais manger.
Please eat.	Mange, s'il te plaît.
Who is next?	À qui le tour ?
Tom is dead.	Tom est mort.
We apologized.	Nous nous sommes excusés.
We saw nothing.	Nous n'avons rien vu.
Change is scary.	Le changement est terrifiant.
You need sleep.	Vous avez besoin de sommeil.
I'm not going.	Je n'y vais pas.
Tom did that.	C'est ce qu'a fait Tom.
Aren't we lucky?	N'avons-nous pas de chance ?
I was barefoot.	J'étais pieds nus.
You must come.	Tu dois venir.
I have a job.	Je dispose d'un boulot.
I surrendered.	Je me suis rendue.
This is a map.	Ceci est une carte.
You're silly.	Tu es idiot.
I'll pack.	Je plierai mes gaules.
I'm fair.	J'ai le teint clair.
You're drunk.	Vous êtes saoule.
Help me, Tom.	Aide-moi, Tom.
Keep Tom safe.	Protégez Tom.
Tom was dying.	Tom était en train de mourir.
You're popular.	Tu es populaire.
I hate soccer.	Je déteste le football.
I'm just tired.	Je suis simplement fatiguée.
Tom scares me.	Tom me fait peur.
Tom is awkward.	Tom est maladroit.
Tom loves it.	Tom adore ça.
I'm fascinated.	Je suis fasciné.
She is walking.	Elle marche.
It's Christmas.	C'est Noël.
We all quit.	Nous démissionnons tous.
Seize him!	Attrapez-le !
I feel blue.	Je me sens déprimée.
I'm game.	Je suis de la partie.
Come on in.	Entre.
You charlatan!	Espèce de charlatan !
I deserve it.	Je le mérite.
You're weird.	Vous êtes bizarre.
I get the idea.	Je pige.
Run.	File !
I saw her home.	Je l'ai vue chez nous.
Here is my key.	Voici ma clef.
I was hurt.	J'ai été blessé.
Chill out.	Tranquille.
I wore a mask.	J'ai porté un masque.
I'm restless.	Je ne tiens pas en place.
Put it there.	Mettez-le là.
We'll decide.	Nous déciderons.
Please do this.	Fais ça, s'il te plaît !
Turn it off.	Éteignez-le !
Tom went pale.	Tom a pâli.
Hide the money.	Cache l'argent.
I'm a bit busy.	Je suis un peu occupé.
You must do it.	Il faut que tu fasses cela.
Show it to me.	Montrez-la-moi.
They have come.	Ils sont arrivés.
Take it easy!	Détends-toi !
I canceled.	Je me suis décommandé.
Don't worry.	T'inquiète.
I use Firefox.	J'utilise Firefox.
Stay a moment.	Reste un moment !
Keep climbing.	Continuez à monter.
He tricked me.	Il m'a arnaqué.
We're losing.	Nous perdons.
Are you ready?	Prêtes ?
Let me try.	Laissez-moi essayer.
Come quickly!	Venez vite !
Try and swim!	Essayez de nager !
Keep back.	Restez en arrière.
You're funny.	T'es marrant.
What a big dog!	Quel grand chien !
You may go.	Vous pouvez partir.
Don't open it.	Ne l'ouvre pas.
Tom snorted.	Tom a reniflé.
Eat more fruit.	Mange plus de fruits.
Tom hates you.	Tom te hait.
Who's dieting?	Qui est au régime ?
Are you crying?	Vous pleurez ?
Time will tell.	L'avenir le dira.
I help him.	Je l'aide.
It's awful.	C'est affreux.
I love music.	J'adore la musique.
I'll go check.	J'irai vérifier.
A car went by.	Une voiture passa.
I'm leaving.	Je pars.
I'm lost.	Je suis perdue.
Hold this.	Tenez ceci !
This is big.	C'est grand.
Tom won.	Tom a gagné.
You seem upset.	Tu sembles contrarié.
I walked alone.	J'ai marché seul.
Don't litter!	Ne pas déverser d'immondices !
I'm armed.	Je suis armée.
Do you go often?	Vous y allez souvent ?
Now I remember.	Maintenant je me rappelle.
Can we leave?	Pouvons-nous partir ?
Welcome back.	Sois de nouveau la bienvenue !
Let me know.	Fais-le moi savoir !
Go away.	Disparais !
Don't be angry.	Ne soyez pas en colère.
We're not safe.	Nous ne sommes pas en sécurité.
Translate this.	Traduis ceci.
I trust him.	Je lui fais confiance.
Tom is first.	Tom est en tête.
Stay calm.	Reste tranquille.
Who's Tom?	C’est qui, Tom ?
I can help you.	Je peux vous aider.
Give him time.	Donne-lui du temps.
We can pay.	Nous pouvons payer.
Please smile.	Souris, je te prie !
This is a wig.	C'est une perruque.
I can't get in.	Je ne parviens pas à y pénétrer.
Terrific!	Impeccable !
Make a wish.	Faites un souhait !
We got ready.	Nous nous sommes apprêtées.
Is that sweet?	Est-ce que c'est doux ?
I'm dehydrated.	Je suis déshydratée.
Welcome back.	Soyez de nouveau la bienvenue !
It's too thin.	C'est trop fin.
She kissed him.	Elle l'a embrassé.
He pinched me!	Il m'a pincé !
I like it.	J'aime bien.
Let's end this.	Finissons ça.
Go outside.	Sortez.
I'll pay you.	Je vous paierai.
Stop arguing.	Arrête de te disputer !
We can swim.	Nous savons nager.
I can read.	Je sais lire.
Who are they?	Qui sont-elles ?
The cup broke.	La coupe s'est cassée.
I hurried home.	Je filai à la maison.
Don't be long.	Ne sois pas long.
Got it?	Pigé ?
We're lost.	Nous sommes perdues.
It is there.	C'est là.
I don't date.	Je ne sors pas avec un garçon.
I feel unwell.	Je ne me sens pas bien.
Tom's unharmed.	Tom est indemne.
You're sad.	Tu es triste.
I'm not happy.	Je ne suis pas heureux.
Was Tom there?	Tom était-il là ?
I'm not busy.	Je ne suis pas occupé.
Do I stink?	Est-ce que je pue ?
Prepare to die.	Préparez-vous à mourir !
I'll get you.	J'irai te prendre.
Tom is a pig!	Tom est un porc !
Come, sit by me.	Viens, assieds-toi près de moi.
You're in love.	Vous êtes amoureuses.
I trusted you.	Je t'ai fait confiance.
Forgive me.	Pardonnez-moi.
Tom left it.	Tom l'a laissé.
It's wonderful!	C'est merveilleux !
She got angry.	Elle s'est mise en colère.
He's studying.	Il étudie.
I saw one.	J'en ai vu un.
Be fair.	Sois équitable !
Kick it.	Donnez-lui un coup de pied.
You're kind.	Tu es gentil.
I let them go.	Je les ai laissées s'en aller.
We're busy.	Nous sommes occupées.
My hair's wet.	J'ai les cheveux mouillés.
Be content.	Sois satisfaite !
I can't use it.	Je ne peux pas l'utiliser.
Go help Tom.	Va aider Tom.
Try it again.	Essaye de nouveau.
Let me pay.	Laissez-moi payer.
We'll drive.	Nous conduirons.
Do it this way.	Faites-le de cette manière.
It will heal.	Cela guérira.
Jump!	Saute.
I need ice.	J'ai besoin de glace.
Take mine.	Prends les miennes.
Take a seat.	Assieds-toi !
I'm happy here.	Je suis heureuse, ici.
This is my cow.	C'est ma vache.
Tom coughed.	Thomas toussota.
They all drank.	Ils burent tous.
She is quiet.	Elle est tranquille.
Get the camera.	Prends l'appareil photo.
I'm sleeping.	Je suis en train de dormir.
It's not true.	Ce n'est pas vrai.
How can I help?	De quelle manière puis-je aider ?
It's the cops!	Ce sont les flics !
I can't dance.	Je ne sais pas danser.
I believe Tom.	Je crois Tom.
How absurd!	Quelle absurdité !
Did you need me?	Avais-tu besoin de moi ?
Let Tom know.	Informez Tom.
Fantastic!	Fantastique !
Ask Tom again.	Demandez encore à Tom.
Don't be naive.	Ne sois pas naïf !
You're lost.	Tu es perdu.
Tom knows guns.	Tom s'y connaît en flingues.
I'm bluffing.	J’y vais au flan.
We remember.	Nous nous souvenons.
He's addicted.	Il a une assuétude.
Pick a weapon.	Choisissez une arme !
I know this.	Je le sais.
I'll find you.	Je te trouverai.
Who told you?	Qui vous l'a raconté ?
It's bedtime.	C'est l'heure de se coucher.
Get out!	Fiche le camp.
I'm on my way.	Je suis en route.
Tom fell apart.	Tom s'est écroulé.
Can you see Tom?	Peux-tu voir Tom ?
He lives alone.	Il vit seul.
I'm uninsured.	Je ne suis pas assurée.
I'm truthful.	Je dis la vérité.
I'd be careful.	Je serais prudent.
Boy was I naive.	Ce que j'étais naïf !
Pick a card.	Pioche une carte !
Sit still.	Reste assis sans bouger.
I found you.	Je t'ai trouvé.
May I go?	Puis-je y aller ?
I need answers.	J'ai besoin de réponses.
Don't shoot!	Ne tire pas !
I want proof.	Je veux une preuve.
He denied it.	Il le refusa.
I'm full.	Je suis rassasié !
Tom was gone.	Tom était parti.
They look sad.	Elles ont l'air triste.
Hello everyone!	Salut la compagnie !
Seal the doors.	Scelle la porte !
Tom'll recover.	Tom s'en remettra.
Get some sleep.	Prenez un peu de sommeil.
Tom took cover.	Tom s'est mis à l'abri.
Please vote.	Vote s'il te plaît.
I have a gun.	Je dispose d'une arme.
I want to swim.	Je veux nager.
It's not cool.	Ce n'est pas sympa.
Be careful!	Soyez prudent !
Tom is last.	Tom est dernier.
Ignore him.	Ne faites pas attention à lui.
I have failed.	J'ai échoué.
Eat and drink.	Mange et bois.
I'll take one.	J'en prendrai un.
Be creative.	Sois créative !
They're clean.	Elles sont propres.
Is he busy?	Est-il occupé ?
Who's laughing?	Qui est-ce qui rit ?
Anyone home?	Qui que ce soit est-il à la maison ?
Tom says hi.	Tom vous salue bien.
I screamed.	J'ai crié.
I'll get you.	J'irai vous prendre.
Think again.	Repenses-y.
Help Tom.	Aidez Tom.
You're insane.	Tu es cinglé.
Help us, Tom.	Aide-nous, Tom.
Flip a coin.	Lance une pièce !
I can read.	Je peux lire.
This is crazy.	C'est fou.
Don't show off.	Arrête de frimer !
Who's ill?	Qui est malade ?
Make it short.	Fais court.
Bring that here.	Apportez ça ici.
Hold the rope.	Tenez la corde.
I hate my body.	Je hais mon corps.
This is wrong.	C'est mal.
Hang on!	Attendez un peu !
Tom gargled.	Tom s'est gargarisé.
Drop it!	Laisse-le tomber !
We'll survive.	Nous survivrons.
I'll cooperate.	Je coopérerai.
I'm intrigued.	Cela m'intrigue.
He was stunned.	Il a été paralysé.
You tried.	Vous avez essayé.
I should do it.	Je devrais le faire.
That was quick.	C'était rapide.
May I use this?	Puis-je utiliser ceci ?
I'll go now.	J'y vais maintenant.
Wake Tom up.	Réveille Tom !
We're certain.	Nous sommes certains.
I'm well.	Je me porte bien.
Kiss me.	Embrasse-moi.
Tom paid.	Tom a payé.
Make an offer.	Faites une offre.
That's hers.	C'est le sien.
Hands off.	Pas touche !
You're fun.	T'es marrante.
Don't leave!	Ne pars pas !
I don't get it.	Je ne capte pas.
Be prepared.	Tiens-toi prêt !
I have a key.	Je dispose d'une clé.
She's nice.	Elle est gentille.
Is that right?	Est-ce exact ?
Isn't it cute?	N'est-ce pas mignon ?
I'm a merchant.	Je suis un marchand.
Tom's a doctor.	Tom est docteur.
Let's see.	Voyons voir !
I want more.	J'en veux davantage.
I'm not tired.	Je ne suis pas fatiguée.
Come quickly!	Dépêche-toi de venir !
I need a coat.	Il me faut un manteau.
She fooled him.	Elle l'a berné.
Are you happy?	Êtes-vous heureuses ?
It's exciting.	C’est grisant.
She loves me.	Elle m'aime.
I corrected it.	Je l'ai corrigée.
Are you kidding?	Tu plaisantes ?
Go to bed.	Va au lit !
Tom'll call.	Tom appellera.
Have a taste.	Goûte !
He spoke.	Il s'est exprimé.
Tom looks mad.	Tom a l'air furieux.
A beer, please.	Une bière, s'il vous plaît !
Let me see it.	Laissez-moi la voir.
Tom limps.	Tom boite.
You're odd.	Tu es bizarre.
Keep writing.	Continuez d'écrire.
Make a guess.	Devine !
Hang in there.	Tiens bon.
I'm in my room.	Je suis dans ma chambre.
I like to talk.	J'aime parler.
They found us.	Ils nous ont trouvées.
I'll be around.	Je serai dans les environs.
We'll pass.	Nous réussirons.
Go right ahead.	Va tout droit !
Tom is kind.	Tom est aimable.
It's 3:30.	Il est trois heures et demie.
It's all true.	Tout est vrai.
Stop bragging.	Arrêtez de vous vanter.
Do you disagree?	N'êtes-vous pas d'accord ?
We're stalled.	Nous sommes à l'arrêt.
I go to work.	Je pars au boulot.
What's that?	Qu'est cela ?
It is foggy.	Il y a du brouillard.
I'll live.	Je vivrai.
I don't dream.	Je ne rêve pas.
I don't date.	Je ne courtise pas.
We're not cops.	Nous ne sommes pas flics.
That's true.	C'est juste.
I must see you.	Il me faut vous voir.
I looked down.	J'ai baissé les yeux.
We're jealous.	Nous sommes jalouses.
Are you lonely?	Êtes-vous esseulée ?
We must hurry.	Il nous faut nous dépêcher.
We all laughed.	Nous rîmes toutes.
I felt strong.	Je me suis senti fort.
Wonderful!	À la bonne heure !
They're happy.	Elles sont heureuses.
Are you hurt?	Vous êtes-vous blessées ?
Make your move.	Fais ton mouvement.
I've upset you.	Je vous ai contrarié.
I'm methodical.	Je suis méthodique.
A car hit Tom.	Tom a été renversé par une voiture.
I like bread.	J'aime le pain.
Think again.	Pensez-y encore.
You're silly.	Tu es idiote.
Excuse me.	Excusez-moi.
Who?	Qui ?
Let it go.	Du calme !
He seems angry.	Il a l'air en colère.
I had fun here.	Je me suis amusée, ici.
Let me see.	Laissez-moi voir.
I want Mary.	Je veux Mary.
Are we done?	En avons-nous terminé ?
Do you know her?	La connais-tu ?
Please listen.	Écoute, s'il te plaît.
I'm very busy.	Je suis fort occupé.
You're normal.	Tu es normal.
He's insecure.	Il est peu sûr de lui.
Come on!	Secoue-toi !
Were you busy?	Étais-tu occupée ?
I swore.	J’ai promis.
Tom rushed in.	Tom s'est empressé d'entrer.
Sit tight.	Reste assise.
I waved.	J’ai fait signe.
I have won.	J'ai gagné.
I was lucky.	J'ai eu de la chance.
Join us.	Joignez-vous.
Go ahead.	Vas-y !
Are you envious?	Êtes-vous envieuses ?
Do I know you?	Est-ce que je te connais ?
Run.	Courez !
I called you.	Je vous ai appelée.
I cut myself.	Je me suis coupée.
Go to bed.	Va te coucher !
Let me go!	Laissez-moi y aller !
I love cookies.	J'adore les biscuits.
I'm dirty.	Je suis sale.
Will you go?	Iras-tu ?
You're a pig.	Tu es un égoïste.
Tom is vulgar.	Tom est vulgaire.
Relax.	Tranquille.
Be brief.	Soyez brève.
Breathe in.	Inspire.
What do you do?	Que fais-tu ?
They are muddy.	Ils sont boueux.
That's icky.	C'est collant.
Give it to me.	Donnez-la-moi.
Don't be upset.	Ne sois pas fâchée !
She shot a gun.	Elle a tiré avec une arme.
It's his.	C'est le sien.
He liked that.	Il apprécia cela.
I feel well.	Je me sens bien.
Stop gossiping.	Arrêtez de bavarder.
Don't be crude.	Ne sois pas salace !
Have a look.	Regardez !
Set Tom free.	Libère Tom.
I'm an old man.	Je suis un vieil homme.
She loves cake.	Elle adore les gâteaux.
I remember.	Je m'en rappelle.
Sing with us.	Chante avec nous.
Come quickly!	Dépêchez-vous de venir !
Tom felt weak.	Tom se sentait faible.
You're elusive.	Vous êtes insaisissable.
Have a cookie.	Prends un biscuit !
Take a chance.	Essaie !
We are cousins.	On est cousins.
Don't argue.	Pas de discussion.
Keep this.	Garde ça.
I got hot.	Je me suis mis à avoir chaud.
I'm a nobody.	Je ne suis personne.
Try to resist.	Essaie de résister.
Calm down.	Du calme.
I tried hard.	J'ai essayé de toutes mes forces.
Bring him in.	Fais-le entrer.
It wasn't mine.	Ce n'était pas le mien.
I hate secrets.	Je déteste les secrets.
That's a joke.	C'est une blague.
I messed up.	J'ai mis le souk.
Just take mine.	Prends simplement le mien.
I love music.	J'aime beaucoup la musique.
I let them go.	Je les ai laissées partir.
We'll walk.	Nous marcherons.
I'm attentive.	Je suis attentive.
I must study.	Je dois étudier.
Ignore him.	Ignore-le.
We know.	Nous savons.
I was busy.	J'étais occupée.
It works.	Ça fonctionne.
Tom adores me.	Tom m'adore.
We're shocked.	Nous sommes choqués.
That will do.	Ça fera l'affaire.
I'm upstairs.	Je suis au-dessus.
That's Saturn.	C'est Saturne.
Are you bored?	Vous ennuyez-vous ?
Can I touch it?	Puis-je la toucher ?
Open carefully.	Ouvrir avec précaution.
I like running.	J'aime courir.
How are you?	Comment ça va ?
They're good.	Ils sont bons.
Did I do that?	Ai-je fait cela ?
He got caught.	Il se fit prendre.
I'm confused.	Je suis confuse.
Give me a beer.	Donne-moi une bière.
Is it finished?	Est-ce terminé ?
Are you single?	Es-tu seul ?
Did you take it?	L'avez-vous pris ?
Show me.	Montrez-moi !
It looks fine.	Ça a l'air au poil.
Is that you?	Est-ce que c'est vous ?
That's fun.	C'est marrant.
It's a sequel.	C'en est une suite.
Don't shoot.	Ne tirez pas !
I love lasagna.	J'adore les lasagnes.
Forgive me.	Pardonne-moi.
They're safe.	Elles sont en sécurité.
We're in pain.	Nous souffrons.
Nobody cried.	Personne n'a pleuré.
You don't say.	Vraiment ?
It'll happen.	Ça surviendra.
Why do you ask?	Pourquoi demandes-tu ?
You seem busy.	Vous semblez occupées.
Save yourself.	Sauvez-vous !
Get going.	En route.
Do it again!	Refaites-le !
Keep driving.	Avance !
I'll pay.	Je paie.
Tom is full.	Tom est rassasié.
Tom came over.	Tom est passé.
Don't kid me!	Ne me charriez pas !
Tom stopped it.	Tom l'a arrêtée.
I lied.	J'ai menti.
Am I hired?	Suis-je engagée ?
We all laughed.	Nous avons tous ri.
That is mine.	C'est à moi.
Think positive.	Pensez positivement.
Come back here.	Reviens ici !
I lost the bet.	J'ai perdu le pari.
Quit gambling.	Arrête de jouer.
I like picnics.	J'aime bien les pique-niques.
It's not us.	Ce n'est pas nous.
Identify Tom.	Identifiez Tom.
Is this legal?	Est-ce licite ?
You're thin.	Tu es mince.
No problem!	Aucun problème !
I hear you.	Je comprends ce que tu es en train de dire.
We're retiring.	Nous partons à la pension.
You've won!	Tu as gagné !
It hurts.	Ça fait mal.
Do I know him?	Je le connais ?
No one noticed.	Personne ne le remarqua.
Sit here.	Asseyez-vous ici.
I prefer dogs.	Je préfère les chiens.
You're not fat.	Vous n'êtes pas grosse.
No way!	C'est hors de question !
I will behave.	Je me tiendrai bien.
Look out!	Regarde donc !
Do you agree?	Tu es d'accord ?
I looked down.	Je baissai les yeux.
You did it!	C'est vous qui l'avez fait !
Tom's smiling.	Tom sourit.
You're mean.	Vous êtes méchante.
Please stay.	Restez, s'il vous plaît.
I love Tom.	J'aime Tom.
I can't do it.	Je n'y arrive pas.
I rescued you.	Je vous ai sauvé.
Can you hear us?	Arrives-tu à nous entendre ?
Hold my hand.	Tiens ma main.
Tom's funny.	Tom est marrant.
I saw somebody.	J'ai vu quelqu'un.
Was Tom hurt?	Tom a-t-il été blessé ?
We never swim.	Nous ne nageons jamais.
Can you skip me?	Vous pouvez me lâcher ?
Tom'll know.	Tom le saura.
I'll be ready.	Je serai prêt.
We're early.	Nous sommes en avance.
I'll manage.	Je m'en sortirai.
How exciting!	Que c'est excitant !
It's a weapon.	Il s'agit d'une arme.
It went OK.	Ça s'est bien passé.
Are they dead?	Sont-elles mortes ?
Did you go out?	Tu es sortie ?
Tom hates dogs.	Tom déteste les chiens.
Get up.	Lève-toi !
I like cooking.	J'aime cuisiner.
Who's watching?	Qui est en train de regarder ?
I'm new here.	Je suis nouveau, ici.
Tom is selfish.	Tom est égoïste.
Sign this.	Signe ça.
They struggled.	Elles ont eu du mal.
Lock it.	Verrouille-la.
I'm a widow.	Je suis veuve.
I'm naked.	Je suis nu.
Get dressed.	Habille-toi.
I'm sloshed.	Je suis bourrée.
We want one.	Nous en voulons une.
We won't eat.	Nous ne mangerons pas.
We'll be there.	On y sera.
Are you working?	Es-tu en train de travailler ?
That's a fact.	C'est un fait.
Coffee, please.	Du café, je te prie.
Read after me.	Lisez après moi.
How tall is he?	Quelle est sa taille ?
It was clean.	Ce fut net.
Why bother?	À quoi bon ?
Anybody hurt?	Qui que ce soit est-il blessé ?
Beat it.	Tire-toi de là.
Leave Tom.	Romps avec Tom.
I'm dependable.	On peut compter sur moi.
Have a drink.	Prends un verre !
Tom isn't safe.	Tom n'est pas à l'abri.
See you soon!	À bientôt !
Show us around.	Fais-nous faire le tour.
It's upstairs.	C'est à l'étage au-dessus.
I live upstate.	Je réside au nord de l'état.
Mum's the word.	Motus et bouche cousue.
Back off!	Reculez.
Who is he?	Qui est-il ?
It's a fad.	C'est une passade.
She's pregnant.	Elle est enceinte.
Try this.	Essayez ceci !
I'm not scared.	Ça ne me fait pas peur.
Have a donut.	Prenez un beignet.
I'm really sad.	Je suis vraiment triste.
Summer is over.	L'été est terminé.
Go get changed.	Allez vous changer !
He will not go.	Il n'ira pas.
He makes sense.	Il est sensé.
I am so sick.	C'est moi qui suis tellement malade.
Did I win?	Ai-je gagné ?
We could crash.	Nous pourrions nous écraser.
I like running.	J'aime faire du jogging.
We'll find it.	On va le trouver.
What's up?	Ça va ?
I'm Canadian.	Je suis Canadien.
Read the meter.	Relevez le compteur.
We're fasting.	Nous faisons la diète.
I enjoy chess.	J'apprécie les échecs.
Show it to her.	Montre-le-lui !
You're naive.	Tu es naïve.
Don't leave!	Ne quittez pas !
I like Tom.	J'aime bien Tom.
Be a good boy.	Sois un bon garçon !
I need some.	J'en ai besoin.
I'll just wait.	Je vais juste attendre.
I hate beans.	Je déteste les haricots.
Cats catch mice.	Les chats peuvent attraper les souris.
Stay seated.	Reste assise.
Just ignore it.	N'y prêtez simplement pas attention !
Who owns it?	Qui détient cela ?
You're nuts!	Vous êtes givrée !
He squinted.	Il loucha.
No one came.	Personne n'est venu.
That's my wish.	C'est mon désir.
I feel so bad.	Je me sens tellement mal.
I see a lion.	Je vois un lion.
It's too cold.	Il fait trop froid.
Memorize this.	Mémorisez ceci.
Who quit?	Qui démissionne ?
I need a job.	J'ai besoin d'un boulot.
I'm busy, too.	Je suis également occupée.
Need a lift?	T'as besoin d'un chauffeur ?
He is delicate.	Il est délicat.
Are you busy?	Êtes-vous occupé ?
Keep Tom safe.	Protège Tom.
That's a pity.	C'est dommage.
I found a taxi.	J'ai trouvé un taxi.
I don't get it.	Je ne comprends pas.
Remember it.	Souviens-en-toi.
Please get Tom.	Va chercher Tom, s'il te plaît.
Did you take it?	L'as-tu pris ?
I want to live.	Je veux vivre.
Tom kept going.	Tom continua.
You're normal.	Tu es normale.
It's gorgeous.	C'est superbe.
Look closely.	Regardez attentivement.
I was sick.	J'étais malade.
I lost my keys.	J'ai perdu mes clés.
I've lost it.	Je l’ai perdu.
That's not why.	Ce n'est pas la raison.
Get moving.	En avant.
I'm exhausted.	Je suis épuisée.
Tom is a lefty.	Tom est gaucher.
They let me go.	Elles m'ont laissée m'en aller.
We'll paint it.	Nous le peindrons.
Give me a hint.	Donne-moi un indice.
Excuse me?	Je vous demande pardon ?
I'm busy, too.	Je suis également occupé.
I like garlic.	J'aime l'ail.
She hired him.	Elle l'a embauché.
I'm not evil.	Je ne suis pas mauvais.
Live and learn.	Vis et apprends.
Can you help me?	Pouvez-vous m'aider ?
I'll try that.	Je tenterai ça.
I have to go.	Je dois y aller.
Happy New Year!	Bonne année !
Tom needs me.	Tom a besoin de moi.
Leave me alone.	Laisse-moi tranquille.
I blinked.	J'ai cligné des yeux.
I recovered.	Je m'en suis remise.
That's evident.	C'est visible.
He wants to go.	Il veut partir.
Bury it.	Enterre-le.
Face facts!	Rends-toi à l'évidence.
You're losing.	Tu es en train de perdre.
We need water.	Nous avons besoin d'eau.
I had a vision.	J'ai eu une vision.
Well done!	Pas mal !
Please hold on.	Veuillez patienter.
I feel giddy.	J'ai la tête qui me tourne.
Can we come in?	Pouvons-nous entrer ?
We have room.	Nous avons de l'espace.
I want this.	Je veux ceci.
Stand still.	Pas un geste.
He will wait.	Il attendra.
I see the boy.	Je vois le garçon.
Tom was safe.	Tom était sain et sauf.
I see a light.	Je vois une lumière.
I have proof.	J'ai une preuve.
Tom is at work.	Tom est en train de travailler.
Tom wanted it.	Tom le voulait.
They're asleep.	Elles sont endormies.
You're a prude.	Tu es une puritaine.
I'm a farmer.	Je suis agriculteur.
I'm 19.	J'ai 19 ans.
Just leave it.	Laisse-le.
Write to Tom.	Écris à Tom.
Don't bother.	Ne dérange pas.
